frameMs,draws,vsB0,vsB1,vsB2,vsB3,psB0,psB1,psB2,psB3,vbLocks,vbDiscards,ibLocks,ibDiscards
7.33,14,14,0,0,0,0,0,0,0,13,0,0,0
7.05,14,14,0,0,0,0,0,0,0,13,0,0,0
7.67,14,14,0,0,0,0,0,0,0,13,0,0,0
6.78,14,14,0,0,0,0,0,0,0,13,0,0,0
7.49,14,14,0,0,0,0,0,0,0,13,0,0,0
6.63,14,14,0,0,0,0,0,0,0,13,0,0,0
7.00,14,14,0,0,0,0,0,0,0,13,0,0,0
7.55,14,14,0,0,0,0,0,0,0,13,0,0,0
7.62,14,14,0,0,0,0,0,0,0,13,0,0,0
7.96,14,14,0,0,0,0,0,0,0,13,0,0,0
7.01,14,14,0,0,0,0,0,0,0,13,0,0,0
7.45,14,14,0,0,0,0,0,0,0,13,0,0,0
6.62,14,14,0,0,0,0,0,0,0,13,0,0,0
7.25,14,14,0,0,0,0,0,0,0,13,0,0,0
6.62,14,14,0,0,0,0,0,0,0,13,0,0,0
7.13,14,14,0,0,0,0,0,0,0,13,0,0,0
6.70,14,14,0,0,0,0,0,0,0,13,0,0,0
7.26,14,14,0,0,0,0,0,0,0,13,0,0,0
7.37,12,12,0,0,0,0,0,0,0,11,0,0,0
6.29,12,12,0,0,0,0,0,0,0,11,0,0,0
7.67,12,12,0,0,0,0,0,0,0,11,0,0,0
7.37,12,12,0,0,0,0,0,0,0,11,0,0,0
7.24,12,12,0,0,0,0,0,0,0,11,0,0,0
6.42,12,12,0,0,0,0,0,0,0,11,0,0,0
7.58,12,12,0,0,0,0,0,0,0,11,0,0,0
6.82,12,12,0,0,0,0,0,0,0,11,0,0,0
6.74,12,12,0,0,0,0,0,0,0,11,0,0,0
8.18,12,12,0,0,0,0,0,0,0,11,0,0,0
6.65,12,12,0,0,0,0,0,0,0,11,0,0,0
7.46,12,12,0,0,0,0,0,0,0,11,0,0,0
6.52,12,12,0,0,0,0,0,0,0,11,0,0,0
7.86,12,12,0,0,0,0,0,0,0,11,0,0,0
6.63,12,12,0,0,0,0,0,0,0,11,0,0,0
7.30,12,12,0,0,0,0,0,0,0,11,0,0,0
6.62,12,12,0,0,0,0,0,0,0,11,0,0,0
7.63,12,12,0,0,0,0,0,0,0,11,0,0,0
7.15,12,12,0,0,0,0,0,0,0,11,0,0,0
6.74,12,12,0,0,0,0,0,0,0,11,0,0,0
7.38,12,12,0,0,0,0,0,0,0,11,0,0,0
6.56,12,12,0,0,0,0,0,0,0,11,0,0,0
8.38,12,12,0,0,0,0,0,0,0,11,0,0,0
6.19,12,12,0,0,0,0,0,0,0,11,0,0,0
7.43,12,12,0,0,0,0,0,0,0,11,0,0,0
6.74,12,12,0,0,0,0,0,0,0,11,0,0,0
6.92,12,12,0,0,0,0,0,0,0,11,0,0,0
7.40,12,12,0,0,0,0,0,0,0,11,0,0,0
6.49,12,12,0,0,0,0,0,0,0,11,0,0,0
7.38,12,12,0,0,0,0,0,0,0,11,0,0,0
6.75,12,12,0,0,0,0,0,0,0,11,0,0,0
7.58,12,12,0,0,0,0,0,0,0,11,0,0,0
6.20,12,12,0,0,0,0,0,0,0,11,0,0,0
7.89,12,12,0,0,0,0,0,0,0,11,0,0,0
6.62,12,12,0,0,0,0,0,0,0,11,0,0,0
7.16,12,12,0,0,0,0,0,0,0,11,0,0,0
7.43,12,12,0,0,0,0,0,0,0,11,0,0,0
7.36,12,12,0,0,0,0,0,0,0,11,0,0,0
7.48,12,12,0,0,0,0,0,0,0,11,0,0,0
6.35,12,12,0,0,0,0,0,0,0,11,0,0,0
7.57,12,12,0,0,0,0,0,0,0,11,0,0,0
6.79,12,12,0,0,0,0,0,0,0,11,0,0,0
6.77,12,12,0,0,0,0,0,0,0,11,0,0,0
7.32,12,12,0,0,0,0,0,0,0,11,0,0,0
6.82,12,12,0,0,0,0,0,0,0,11,0,0,0
8.01,12,12,0,0,0,0,0,0,0,11,0,0,0
6.31,12,12,0,0,0,0,0,0,0,11,0,0,0
7.20,12,12,0,0,0,0,0,0,0,11,0,0,0
6.93,12,12,0,0,0,0,0,0,0,11,0,0,0
7.27,12,12,0,0,0,0,0,0,0,11,0,0,0
6.51,12,12,0,0,0,0,0,0,0,11,0,0,0
6.97,12,12,0,0,0,0,0,0,0,11,0,0,0
7.39,12,12,0,0,0,0,0,0,0,11,0,0,0
6.90,12,12,0,0,0,0,0,0,0,11,0,0,0
7.92,12,12,0,0,0,0,0,0,0,11,0,0,0
7.14,12,12,0,0,0,0,0,0,0,11,0,0,0
6.73,12,12,0,0,0,0,0,0,0,11,0,0,0
7.32,12,12,0,0,0,0,0,0,0,11,0,0,0
7.56,12,12,0,0,0,0,0,0,0,11,0,0,0
6.83,12,12,0,0,0,0,0,0,0,11,0,0,0
6.95,12,12,0,0,0,0,0,0,0,11,0,0,0
7.48,12,12,0,0,0,0,0,0,0,11,0,0,0
6.43,12,12,0,0,0,0,0,0,0,11,0,0,0
7.84,12,12,0,0,0,0,0,0,0,11,0,0,0
6.18,12,12,0,0,0,0,0,0,0,11,0,0,0
7.89,12,12,0,0,0,0,0,0,0,11,0,0,0
6.22,12,12,0,0,0,0,0,0,0,11,0,0,0
7.43,12,12,0,0,0,0,0,0,0,11,0,0,0
7.45,12,12,0,0,0,0,0,0,0,11,0,0,0
7.01,12,12,0,0,0,0,0,0,0,11,0,0,0
7.23,14,14,0,0,0,0,0,0,0,13,0,0,0
6.79,14,14,0,0,0,0,0,0,0,13,0,0,0
7.66,14,14,0,0,0,0,0,0,0,13,0,0,0
6.77,14,14,0,0,0,0,0,0,0,13,0,0,0
7.35,14,14,0,0,0,0,0,0,0,13,0,0,0
6.84,14,14,0,0,0,0,0,0,0,13,0,0,0
8.15,14,14,0,0,0,0,0,0,0,13,0,0,0
6.64,14,14,0,0,0,0,0,0,0,13,0,0,0
7.76,14,14,0,0,0,0,0,0,0,13,0,0,0
7.34,14,14,0,0,0,0,0,0,0,13,0,0,0
6.88,14,14,0,0,0,0,0,0,0,13,0,0,0
8.20,14,14,0,0,0,0,0,0,0,13,0,0,0
6.27,14,14,0,0,0,0,0,0,0,13,0,0,0
8.57,14,14,0,0,0,0,0,0,0,13,0,0,0
5.88,14,14,0,0,0,0,0,0,0,13,0,0,0
7.34,14,14,0,0,0,0,0,0,0,13,0,0,0
6.66,14,14,0,0,0,0,0,0,0,13,0,0,0
6.75,14,14,0,0,0,0,0,0,0,13,0,0,0
6.91,14,14,0,0,0,0,0,0,0,13,0,0,0
8.00,14,14,0,0,0,0,0,0,0,13,0,0,0
7.34,14,14,0,0,0,0,0,0,0,13,0,0,0
6.27,14,14,0,0,0,0,0,0,0,13,0,0,0
8.12,14,14,0,0,0,0,0,0,0,13,0,0,0
6.74,14,14,0,0,0,0,0,0,0,13,0,0,0
7.07,14,14,0,0,0,0,0,0,0,13,0,0,0
7.24,14,14,0,0,0,0,0,0,0,13,0,0,0
7.65,14,14,0,0,0,0,0,0,0,13,0,0,0
6.92,14,14,0,0,0,0,0,0,0,13,0,0,0
7.90,14,14,0,0,0,0,0,0,0,13,0,0,0
6.25,14,14,0,0,0,0,0,0,0,13,0,0,0
7.31,14,14,0,0,0,0,0,0,0,13,0,0,0
7.88,14,14,0,0,0,0,0,0,0,13,0,0,0
7.32,14,14,0,0,0,0,0,0,0,13,0,0,0
9.21,14,14,0,0,0,0,0,0,0,13,0,0,0
6.37,14,14,0,0,0,0,0,0,0,13,0,0,0
7.45,14,14,0,0,0,0,0,0,0,13,0,0,0
6.83,14,14,0,0,0,0,0,0,0,13,0,0,0
7.07,14,14,0,0,0,0,0,0,0,13,0,0,0
6.74,14,14,0,0,0,0,0,0,0,13,0,0,0
7.43,14,14,0,0,0,0,0,0,0,13,0,0,0
7.34,14,14,0,0,0,0,0,0,0,13,0,0,0
7.56,14,14,0,0,0,0,0,0,0,13,0,0,0
7.38,14,14,0,0,0,0,0,0,0,13,0,0,0
7.84,14,14,0,0,0,0,0,0,0,13,1,0,0
