frameMs,draws,vsB0,vsB1,vsB2,vsB3,psB0,psB1,psB2,psB3,vbLocks,vbDiscards,ibLocks,ibDiscards
6.90,15,15,0,0,0,0,0,0,0,14,0,0,0
7.62,15,15,0,0,0,0,0,0,0,14,0,0,0
7.53,15,15,0,0,0,0,0,0,0,14,0,0,0
7.15,15,15,0,0,0,0,0,0,0,14,0,0,0
6.96,15,15,0,0,0,0,0,0,0,14,0,0,0
7.16,15,15,0,0,0,0,0,0,0,14,0,0,0
7.05,15,15,0,0,0,0,0,0,0,14,0,0,0
7.93,15,15,0,0,0,0,0,0,0,14,0,0,0
6.79,15,15,0,0,0,0,0,0,0,14,0,0,0
7.33,15,15,0,0,0,0,0,0,0,14,0,0,0
7.31,15,15,0,0,0,0,0,0,0,14,0,0,0
6.62,15,15,0,0,0,0,0,0,0,14,0,0,0
6.87,15,15,0,0,0,0,0,0,0,14,0,0,0
7.13,15,15,0,0,0,0,0,0,0,14,0,0,0
7.24,15,15,0,0,0,0,0,0,0,14,0,0,0
8.04,15,15,0,0,0,0,0,0,0,14,0,0,0
6.67,15,15,0,0,0,0,0,0,0,14,0,0,0
7.49,15,15,0,0,0,0,0,0,0,14,0,0,0
6.70,15,15,0,0,0,0,0,0,0,14,0,0,0
7.12,15,15,0,0,0,0,0,0,0,14,0,0,0
7.98,15,15,0,0,0,0,0,0,0,14,0,0,0
6.59,15,15,0,0,0,0,0,0,0,14,0,0,0
7.72,15,15,0,0,0,0,0,0,0,14,0,0,0
6.64,15,15,0,0,0,0,0,0,0,14,0,0,0
7.28,15,15,0,0,0,0,0,0,0,14,0,0,0
6.85,15,15,0,0,0,0,0,0,0,14,0,0,0
6.94,15,15,0,0,0,0,0,0,0,14,0,0,0
7.01,15,15,0,0,0,0,0,0,0,14,0,0,0
6.63,15,15,0,0,0,0,0,0,0,14,0,0,0
7.39,15,15,0,0,0,0,0,0,0,14,0,0,0
6.77,15,15,0,0,0,0,0,0,0,14,0,0,0
8.06,15,15,0,0,0,0,0,0,0,14,0,0,0
6.64,15,15,0,0,0,0,0,0,0,14,0,0,0
7.87,15,15,0,0,0,0,0,0,0,14,0,0,0
6.89,15,15,0,0,0,0,0,0,0,14,0,0,0
6.62,15,15,0,0,0,0,0,0,0,14,0,0,0
7.11,15,15,0,0,0,0,0,0,0,14,0,0,0
7.81,15,15,0,0,0,0,0,0,0,14,0,0,0
7.48,15,15,0,0,0,0,0,0,0,14,0,0,0
6.77,15,15,0,0,0,0,0,0,0,14,0,0,0
8.02,15,15,0,0,0,0,0,0,0,14,0,0,0
6.65,15,15,0,0,0,0,0,0,0,14,0,0,0
6.99,15,15,0,0,0,0,0,0,0,14,0,0,0
7.81,15,15,0,0,0,0,0,0,0,14,0,0,0
7.53,15,15,0,0,0,0,0,0,0,14,0,0,0
7.02,15,15,0,0,0,0,0,0,0,14,0,0,0
6.57,15,15,0,0,0,0,0,0,0,14,0,0,0
7.51,15,15,0,0,0,0,0,0,0,14,0,0,0
6.63,15,15,0,0,0,0,0,0,0,14,0,0,0
7.44,15,15,0,0,0,0,0,0,0,14,0,0,0
6.79,15,15,0,0,0,0,0,0,0,14,0,0,0
7.67,15,15,0,0,0,0,0,0,0,14,0,0,0
6.97,15,15,0,0,0,0,0,0,0,14,0,0,0
8.82,15,15,0,0,0,0,0,0,0,14,0,0,0
6.81,15,15,0,0,0,0,0,0,0,14,0,0,0
7.31,15,15,0,0,0,0,0,0,0,14,0,0,0
7.09,15,15,0,0,0,0,0,0,0,14,0,0,0
7.07,15,15,0,0,0,0,0,0,0,14,0,0,0
7.48,15,15,0,0,0,0,0,0,0,14,0,0,0
6.76,15,15,0,0,0,0,0,0,0,14,0,0,0
7.77,15,15,0,0,0,0,0,0,0,14,0,0,0
7.05,15,15,0,0,0,0,0,0,0,14,0,0,0
6.74,15,15,0,0,0,0,0,0,0,14,0,0,0
7.25,15,15,0,0,0,0,0,0,0,14,0,0,0
7.96,15,15,0,0,0,0,0,0,0,14,0,0,0
6.72,15,15,0,0,0,0,0,0,0,14,0,0,0
8.11,15,15,0,0,0,0,0,0,0,14,0,0,0
6.86,15,15,0,0,0,0,0,0,0,14,0,0,0
7.38,15,15,0,0,0,0,0,0,0,14,0,0,0
7.66,15,15,0,0,0,0,0,0,0,14,0,0,0
6.48,15,15,0,0,0,0,0,0,0,14,0,0,0
8.14,15,15,0,0,0,0,0,0,0,14,0,0,0
6.83,15,15,0,0,0,0,0,0,0,14,0,0,0
8.20,15,15,0,0,0,0,0,0,0,14,0,0,0
6.49,15,15,0,0,0,0,0,0,0,14,0,0,0
7.10,15,15,0,0,0,0,0,0,0,14,0,0,0
7.14,15,15,0,0,0,0,0,0,0,14,0,0,0
7.43,15,15,0,0,0,0,0,0,0,14,0,0,0
7.18,16,16,0,0,0,0,0,0,0,15,0,0,0
6.87,16,16,0,0,0,0,0,0,0,15,0,0,0
7.34,16,16,0,0,0,0,0,0,0,15,0,0,0
6.75,16,16,0,0,0,0,0,0,0,15,0,0,0
7.22,16,16,0,0,0,0,0,0,0,15,0,0,0
6.74,16,16,0,0,0,0,0,0,0,15,0,0,0
7.50,16,16,0,0,0,0,0,0,0,15,0,0,0
6.86,16,16,0,0,0,0,0,0,0,15,0,0,0
7.92,16,16,0,0,0,0,0,0,0,15,0,0,0
6.89,16,16,0,0,0,0,0,0,0,15,0,0,0
6.70,16,16,0,0,0,0,0,0,0,15,0,0,0
7.72,16,16,0,0,0,0,0,0,0,15,0,0,0
7.69,16,16,0,0,0,0,0,0,0,15,0,0,0
8.75,16,16,0,0,0,0,0,0,0,15,0,0,0
7.83,16,16,0,0,0,0,0,0,0,15,0,0,0
7.76,16,16,0,0,0,0,0,0,0,15,0,0,0
8.38,16,16,0,0,0,0,0,0,0,15,0,0,0
7.33,16,16,0,0,0,0,0,0,0,15,0,0,0
6.95,16,16,0,0,0,0,0,0,0,15,0,0,0
7.48,16,16,0,0,0,0,0,0,0,15,0,0,0
7.27,16,16,0,0,0,0,0,0,0,15,0,0,0
8.11,16,16,0,0,0,0,0,0,0,15,0,0,0
6.61,16,16,0,0,0,0,0,0,0,15,0,0,0
8.35,16,16,0,0,0,0,0,0,0,15,0,0,0
6.83,16,16,0,0,0,0,0,0,0,15,0,0,0
7.51,16,16,0,0,0,0,0,0,0,15,0,0,0
6.53,16,16,0,0,0,0,0,0,0,15,0,0,0
7.72,16,16,0,0,0,0,0,0,0,15,0,0,0
7.90,16,16,0,0,0,0,0,0,0,15,0,0,0
7.03,16,16,0,0,0,0,0,0,0,15,0,0,0
6.91,16,16,0,0,0,0,0,0,0,15,0,0,0
6.86,16,16,0,0,0,0,0,0,0,15,0,0,0
7.63,16,16,0,0,0,0,0,0,0,15,0,0,0
7.27,16,16,0,0,0,0,0,0,0,15,0,0,0
7.00,16,16,0,0,0,0,0,0,0,15,0,0,0
7.19,16,16,0,0,0,0,0,0,0,15,0,0,0
7.67,16,16,0,0,0,0,0,0,0,15,0,0,0
6.84,16,16,0,0,0,0,0,0,0,15,0,0,0
6.79,16,16,0,0,0,0,0,0,0,15,0,0,0
7.30,16,16,0,0,0,0,0,0,0,15,0,0,0
