CORNERSNAP-RESOLVE: frame 2764 obj 1068034708 rewind (-9.586,-0.895,2.470)->(-9.649,-0.895,2.463) waypoints 2
CORNERSNAP-RESOLVE: frame 2765 obj 1068034708 rewind (-9.525,-0.895,2.484)->(-9.588,-0.895,2.476) waypoints 2
CORNERSNAP-RESOLVE: frame 2766 obj 1068034708 rewind (-9.457,-0.895,2.498)->(-9.526,-0.895,2.490) waypoints 2
CORNERSNAP-RESOLVE: frame 2767 obj 1068034708 rewind (-9.388,-0.895,2.514)->(-9.459,-0.895,2.505) waypoints 2
CORNERSNAP-RESOLVE: frame 2768 obj 1068034708 rewind (-9.316,-0.895,2.530)->(-9.389,-0.895,2.521) waypoints 2
CORNERSNAP-RESOLVE: frame 2769 obj 1068034708 rewind (-9.246,-0.895,2.545)->(-9.318,-0.895,2.537) waypoints 3
CORNERSNAP-RESOLVE: frame 2937 obj 1068034708 rewind (5.558,-0.894,2.539)->(5.472,-0.895,2.551) waypoints 2
CORNERSNAP-RESOLVE: frame 2938 obj 1068034708 rewind (5.646,-0.894,2.537)->(5.558,-0.895,2.551) waypoints 2
CORNERSNAP-RESOLVE: frame 2939 obj 1068034708 rewind (5.738,-0.894,2.536)->(5.646,-0.895,2.551) waypoints 3
CORNERSNAP-RESOLVE: frame 6763 obj 127040355 rewind (3471.907,5.000,-4851.497)->(3472.069,5.000,-4851.760) waypoints 2
CORNERSNAP-RESOLVE: frame 6764 obj 127040355 rewind (3471.810,5.000,-4851.297)->(3471.958,5.000,-4851.538) waypoints 2
CORNERSNAP-RESOLVE: frame 6765 obj 127040355 rewind (3471.849,5.000,-4851.186)->(3472.019,5.000,-4851.460) waypoints 2
CORNERSNAP-RESOLVE: frame 6766 obj 127040355 rewind (3471.923,5.000,-4851.105)->(3472.088,5.000,-4851.373) waypoints 2
CORNERSNAP-RESOLVE: frame 6767 obj 127040355 rewind (3472.042,5.000,-4851.105)->(3472.155,5.000,-4851.287) waypoints 2
CORNERSNAP-RESOLVE: frame 6768 obj 127040355 rewind (3472.091,5.000,-4851.052)->(3472.200,5.000,-4851.229) waypoints 2
CORNERSNAP-RESOLVE: frame 6769 obj 127040355 rewind (3472.151,5.000,-4851.021)->(3472.245,5.000,-4851.172) waypoints 2
CORNERSNAP-RESOLVE: frame 6770 obj 127040355 rewind (3472.178,5.000,-4850.955)->(3472.283,5.000,-4851.124) waypoints 2
CORNERSNAP-RESOLVE: frame 6771 obj 127040355 rewind (3472.224,5.000,-4850.907)->(3472.325,5.000,-4851.070) waypoints 2
